Region,Total Adults,Male Adults,Female Adults,Adults Aged 18-24,Adults Aged 25-44,Adults Aged 45-64,Adults Aged 65+,Number of people who accessed Private Emergency Accommodation,Number of people who accessed Supported Temporary Accommodation,Number of people who accessed Temporary Emergency Accommodation,Number of people who accessed Other Accommodation,Number of Families,Number of Adults in Families,Number of Single-Parent families,Number of Dependants in Families,Irish,EEA/UK,Non-EEA,Month,Year
North-West,67,49,18,11,39,16,1,22,30,11,4,6,8,4,17,,,,November,2019
South-East,238,170,68,44,120,65,9,59,169,0,10,15,21,9,31,,,,November,2019
South-West,592,361,231,81,351,139,21,338,254,0,0,119,168,70,289,,,,November,2019
West,361,208,153,53,197,95,16,223,136,0,2,86,128,44,215,,,,November,2019
Dublin,4509,2636,1873,557,2635,1228,89,2372,2314,64,0,1256,1822,690,2782,,,,December,2019
Mid-East,322,197,125,43,183,85,11,199,120,3,0,82,121,43,190,,,,December,2019
Midlands,97,45,52,20,53,24,0,60,12,25,0,25,32,18,55,,,,December,2019
Mid-West,369,222,147,49,214,98,8,137,190,42,0,76,99,53,140,,,,December,2019
North-East,141,85,56,24,75,32,10,84,57,0,0,20,23,17,33,,,,December,2019
North-West,67,49,18,11,39,16,1,22,30,11,4,6,8,4,17,,,,December,2019
South-East,238,170,68,44,120,65,9,59,169,0,10,15,21,9,31,,,,December,2019
South-West,592,361,231,81,351,139,21,338,254,0,0,119,168,70,289,,,,December,2019
West,361,208,153,53,197,95,16,223,136,0,2,86,128,44,215,,,,December,2019
Dublin,4129,2693,1436,475,2375,1213,66,2273,1952,34,0,716,1083,349,1760,,,,February,2020
Mid-East,335,221,114,50,181,94,10,201,131,3,0,54,73,35,150,,,,February,2020
Midlands,74,42,32,21,38,14,1,48,9,17,0,17,20,14,37,,,,February,2020
Mid-West,293,203,90,33,177,79,4,68,192,33,0,29,37,21,47,,,,February,2020
North-East,97,76,21,15,50,24,8,25,47,25,0,1,1,1,3,,,,February,2020
North-West,84,60,24,17,47,19,1,36,32,15,1,5,7,3,8,,,,February,2020
South-East,180,134,46,32,85,54,9,56,124,0,0,19,26,12,32,,,,February,2020
South-West,503,359,144,77,276,139,11,338,173,0,0,42,61,23,107,,,,February,2020
West,279,163,116,56,142,74,7,133,146,0,0,52,76,27,120,,,,February,2020
Dublin,4600,2773,1827,577,2687,1250,86,2349,2278,62,0,1201,1735,667,2678,,,,January,2020
